Alphonse Allais , French , 1854 - 1905 , 7 artworks
Hilma af Klint , Swedish , 1862 - 1944 , 26 artworks
Wassily Kandinsky , Russian , 1866 - 1944 , 226 artworks
John Marin , American , 1870 - 1953 , 24 artworks
Piet Mondrian , Dutch , 1872 - 1944 , 100 artworks
Joaquin Torres Garcia , Spanish , 1874 - 1949 , 17 artworks
Bart van der Leck , Dutch , 1876 - 1958 , 17 artworks
Otto Freundlich , Jewish , 1878 - 1943 , 15 artworks
Kazimir Malevich , Ukrainian , 1879 - 1935 , 360 artworks
Hans Hofmann , American , 1880 - 1966 , 100 artworks
Arthur Dove , American , 1880 - 1946 , 24 artworks
Agnes Lawrence Pelton , American , 1881 - 1961 , 21 artworks
Patrick Henry Bruce , American , 1881 - 1936 , 13 artworks
Theo van Doesburg , Dutch , 1883 - 1931 , 184 artworks
Georgy Yakulov , Armenian , 1884 - 1928 , 3 artworks
Janos Mattis-Teutsch , Hungarian , 1884 - 1960 , 109 artworks
Lawren Harris , Canadian , 1885 - 1970 , 43 artworks
Sonia Delaunay , French , 1885 - 1979 , 101 artwork
Morgan Russell , American , 1886 - 1953 , 13 artworks
Jean Arp , French , 1886 - 1966 , 61 artworks
Roger Bissière , French , 1886 - 1964 , 41 artworks
Georges Vantongerloo , Belgian , 1886 - 1965 , 41 artworks
Austin Osman Spare , British , c.1886 - c.1956 , 12 artworks
Josef Albers , German , 1888 - 1976 , 82 artworks
Alberto Magnelli , Italian , 1888 - 1970 , 35 artworks
Johannes Itten , Swiss , 1888 - 1967 , 35 artworks
Félix Del Marle , French , 1889 - 1952 , 32 artworks
Anne Ryan , American , 1889 - 1954 , 26 artworks
Willi Baumeister , German , 1889 - 1955 , 83 artworks
Rudolf Bauer , American , 1889 - 1953 , 13 artworks
Peter Laszlo Peri , British , 1889 - 1967 , 11 artworks
Serge Charchoune , French , 1889 - 1975 , 19 artworks
Carl Buchheister , German , 1890 - 1964 , 21 artworks
Mark Tobey , American , 1890 - 1976 , 86 artworks
Erich Buchholz , German , 1891 - 1972 , 19 artworks
Alma Woodsey Thomas , American , 1891 - 1978 , 29 artworks
Camille Graeser , Swiss , 1892 - 1980 , 20 artworks
Adolf Fleischmann , German , 1892 - 1968 , 23 artworks
Leo Leuppi , Swiss , 1893 - 1972 , 34 artworks
Wladyslaw Strzeminski , Polish , 1893 - 1952 , 19 artworks
Henryk Stazewski , Polish , 1894 - 1988 , 22 artworks
Ben Nicholson , British , 1894 - 1982 , 22 artworks
Henryk Berlewi , French , 1894 - 1967 , 12 artworks
Marcelle Cahn , French , 1895 - 1981 , 51 artworks
Galliano Mazzon , Italian , 1896 - 1978 , 15 artworks
Atanasio Soldati , Italian , 1896 - 1953 , 10 artworks
Robert Strubin , Swiss , 1897 - 1965 , 11 artworks
Jock Macdonald , British , 1897 - 1960 , 16 artworks
Victor Servranckx , Belgian , 1897 - 1965 , 11 artworks
Benedetta Cappa , Italian , 1897 - 1977 , 16 artworks
Jean Fautrier , French , 1898 - 1964 , 43 artworks
Julius Evola , Italian , 1898 - 1974 , 15 artworks
John McLaughlin , American , 1898 - 1976 , 29 artworks
Fritz Glarner , American , 1899 - 1972 , 14 artworks
Bradley Walker Tomlin , American , 1899 - 1955 , 20 artworks
Friedrich Vordemberge-Gildewart , German , 1899 - 1962 , 21 artworks
Jack Tworkov , American , 1900 - 1982 , 19 artworks
Adja Yunkers , American , 1900 - 1983 , 14 artworks
Cesar Domela , Dutch , 1900 - 1992 , 34 artworks
Bice Lazzari , Italian , 1900 - 1981 , 28 artworks
Lolo Soldevilla , Cuban , 1901 - 1971 , 23 artworks
Michel Seuphor , French , 1901 - 1999 , 15 artworks
Ernst Wilhelm Nay , German , 1902 - 1968 , 35 artworks
Boris Margo , American , 1902 - 1995 , 21 artworks
Giuseppe Pinot-Gallizio , Italian , 1902 - 1964 , 14 artworks
Hans Hinterreiter , Swiss , 1902 - 1989 , 56 artworks
Andre Lanskoy , French , 1902 - 1976 , 49 artworks
